animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2
girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1
tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3
seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1
oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3
crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7
wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6
pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2
lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3
vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1
polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1
wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1
hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1
seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7
vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7
antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3
hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1
girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1
ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2
pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3
platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1
deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
raccoon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1
wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3
mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1
rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2
puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1
lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3
reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
hare,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5
reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7
pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3
opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3
mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2
girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1
sole,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
sealion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1
porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
sole,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1
oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,-1
opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,-1
polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,-1
sealion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,-1
squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,-1
pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,-1
platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,-1
hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,-1
calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,-1
polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,-1
wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,-1
crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,-1
ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,-1
toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,-1
duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,-1
girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,-1
pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,-1
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,-1
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,-1
cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,-1
